Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating
ID0886,16-01-2015 13:36,Joe,Air Conditioner,Y,Y,30,0 days 00:06:49,4
ID0887,16-01-2015 14:02,Greg,Fridge,Y,Y,84,0 days 00:02:42,3
ID0888,16-01-2015 14:02,Jim,Air Conditioner,Y,Y,78,0 days 00:04:57,2
ID0889,16-01-2015 14:11,Jim,Fridge,Y,Y,122,0 days 00:01:05,3
ID0890,16-01-2015 14:11,Diane,Washing Machine,Y,Y,26,0 days 00:01:11,1
ID0891,16-01-2015 14:25,Jim,Air Conditioner,Y,Y,95,0 days 00:00:57,3
ID0892,16-01-2015 14:25,Stewart,Air Conditioner,Y,Y,45,0 days 00:01:48,4
ID0893,16-01-2015 14:39,Diane,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0894,16-01-2015 14:39,Diane,Washing Machine,N,N,0,0 days 00:00:00,0
ID0895,16-01-2015 14:49,Dan,Television,Y,N,76,0 days 00:06:40,3
ID0896,16-01-2015 14:49,Martha,Television,Y,N,97,0 days 00:01:36,4
ID0897,16-01-2015 15:24,Stewart,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0898,16-01-2015 15:24,Stewart,Washing Machine,Y,Y,22,0 days 00:02:57,3
ID0899,16-01-2015 15:30,Becky,Television,Y,N,55,0 days 00:00:52,3
ID0900,16-01-2015 15:30,Joe,Toaster,Y,N,64,0 days 00:01:08,4
ID0901,16-01-2015 15:47,Greg,Television,Y,Y,87,0 days 00:01:13,3
ID0902,16-01-2015 15:47,Stewart,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0903,16-01-2015 15:53,Martha,Television,Y,Y,79,0 days 00:04:00,4
ID0904,16-01-2015 15:53,Becky,Washing Machine,Y,Y,33,0 days 00:05:02,4
ID0905,16-01-2015 16:35,Joe,Air Conditioner,Y,Y,114,0 days 00:05:22,4
ID0906,16-01-2015 16:35,Stewart,Air Conditioner,Y,Y,112,0 days 00:00:54,5
ID0907,16-01-2015 16:36,Becky,Air Conditioner,Y,Y,61,0 days 00:06:14,3
ID0908,16-01-2015 16:36,Jim,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0909,16-01-2015 16:52,Jim,Toaster,Y,N,58,0 days 00:04:31,2
ID0910,16-01-2015 16:52,Becky,Television,Y,Y,13,0 days 00:02:05,3
ID0911,16-01-2015 17:42,Stewart,Washing Machine,Y,Y,36,0 days 00:03:58,4
ID0912,16-01-2015 17:42,Greg,Washing Machine,Y,Y,48,0 days 00:03:38,3
ID0913,16-01-2015 17:57,Stewart,Toaster,Y,Y,99,0 days 00:00:33,5
ID0914,16-01-2015 17:57,Joe,Air Conditioner,Y,Y,78,0 days 00:01:47,3
ID0915,16-01-2015 17:58,Greg,Television,Y,Y,82,0 days 00:02:52,4
ID0916,16-01-2015 17:58,Becky,Fridge,N,N,0,0 days 00:00:00,0
ID0917,16-01-2015 18:00,Stewart,Television,Y,Y,19,0 days 00:01:43,5
ID0918,16-01-2015 18:00,Becky,Television,Y,Y,34,0 days 00:06:45,4
ID0919,17-01-2015 09:51,Becky,Air Conditioner,Y,Y,89,0 days 00:03:11,3
ID0920,17-01-2015 09:51,Martha,Washing Machine,Y,Y,116,0 days 00:06:18,4
ID0921,17-01-2015 10:32,Martha,Television,Y,Y,88,0 days 00:04:03,4
ID0922,17-01-2015 10:32,Stewart,Television,Y,Y,15,0 days 00:03:04,3
ID0923,17-01-2015 11:42,Martha,Washing Machine,Y,Y,59,0 days 00:02:17,5
ID0924,17-01-2015 11:42,Greg,Washing Machine,N,N,0,0 days 00:00:00,0
ID0925,17-01-2015 11:42,Martha,Washing Machine,Y,Y,125,0 days 00:03:09,2
ID0926,17-01-2015 11:42,Greg,Television,Y,Y,88,0 days 00:04:06,4
ID0927,17-01-2015 11:45,Jim,Television,Y,Y,20,0 days 00:04:39,5
ID0928,17-01-2015 11:45,Stewart,Washing Machine,Y,Y,64,0 days 00:05:46,3
ID0929,17-01-2015 12:38,Jim,Television,N,N,0,0 days 00:00:00,0
ID0930,17-01-2015 12:38,Stewart,Fridge,Y,Y,111,0 days 00:02:19,5
ID0931,17-01-2015 12:44,Joe,Fridge,N,N,0,0 days 00:00:00,0
ID0932,17-01-2015 12:44,Jim,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0933,17-01-2015 13:29,Joe,Air Conditioner,Y,Y,40,0 days 00:03:01,4
ID0934,17-01-2015 13:29,Martha,Air Conditioner,Y,Y,35,0 days 00:03:07,2
ID0935,17-01-2015 13:30,Martha,Washing Machine,Y,Y,106,0 days 00:02:47,5
ID0936,17-01-2015 13:30,Diane,Toaster,Y,Y,97,0 days 00:02:39,2
ID0937,17-01-2015 13:36,Diane,Washing Machine,Y,Y,67,0 days 00:01:51,3
ID0938,17-01-2015 13:36,Stewart,Washing Machine,Y,Y,98,0 days 00:01:16,5
ID0939,17-01-2015 13:53,Joe,Washing Machine,Y,Y,120,0 days 00:02:20,4
ID0940,17-01-2015 13:53,Becky,Air Conditioner,Y,Y,91,0 days 00:00:45,5
ID0941,17-01-2015 14:00,Martha,Toaster,Y,Y,22,0 days 00:04:53,5
ID0942,17-01-2015 14:00,Diane,Television,Y,N,113,0 days 00:02:45,2
ID0943,17-01-2015 14:18,Diane,Television,N,N,0,0 days 00:00:00,0
ID0944,17-01-2015 14:18,Jim,Toaster,Y,Y,60,0 days 00:01:58,4
ID0945,17-01-2015 14:28,Diane,Toaster,Y,Y,97,0 days 00:02:35,5
ID0946,17-01-2015 14:28,Becky,Television,Y,Y,118,0 days 00:00:52,4
ID0947,17-01-2015 14:31,Dan,Air Conditioner,Y,Y,19,0 days 00:01:21,5
ID0948,17-01-2015 14:31,Stewart,Washing Machine,N,N,0,0 days 00:00:00,0
ID0949,17-01-2015 15:00,Greg,Television,N,N,0,0 days 00:00:00,0
ID0950,17-01-2015 15:00,Dan,Television,Y,Y,124,0 days 00:06:18,4
ID0951,17-01-2015 15:01,Dan,Toaster,Y,Y,53,0 days 00:05:11,2
ID0952,17-01-2015 15:01,Diane,Fridge,Y,Y,61,0 days 00:00:38,5
ID0953,17-01-2015 15:21,Joe,Washing Machine,Y,Y,18,0 days 00:00:46,1
ID0954,17-01-2015 15:21,Greg,Fridge,Y,Y,80,0 days 00:01:16,3
ID0955,17-01-2015 16:22,Stewart,Air Conditioner,Y,Y,47,0 days 00:04:08,4
ID0956,17-01-2015 16:22,Stewart,Toaster,Y,Y,101,0 days 00:05:20,2
ID0957,17-01-2015 16:24,Joe,Television,Y,Y,71,0 days 00:05:40,3
ID0958,17-01-2015 16:24,Martha,Air Conditioner,Y,Y,44,0 days 00:04:07,4
ID0959,17-01-2015 16:29,Becky,Toaster,Y,Y,14,0 days 00:03:00,4
ID0960,17-01-2015 16:29,Martha,Toaster,N,N,0,0 days 00:00:00,0
ID0961,17-01-2015 17:06,Jim,Washing Machine,Y,Y,44,0 days 00:02:40,2
ID0962,17-01-2015 17:06,Diane,Fridge,Y,Y,97,0 days 00:06:46,4
ID0963,17-01-2015 17:16,Becky,Television,N,N,0,0 days 00:00:00,0
ID0964,17-01-2015 17:16,Diane,Fridge,Y,N,91,0 days 00:04:09,3
ID0965,17-01-2015 17:21,Dan,Toaster,Y,Y,48,0 days 00:03:13,3
ID0966,17-01-2015 17:21,Greg,Washing Machine,Y,Y,45,0 days 00:01:39,3
ID0967,17-01-2015 17:54,Becky,Fridge,Y,Y,60,0 days 00:02:00,5
ID0968,17-01-2015 17:54,Jim,Television,Y,Y,85,0 days 00:05:32,4
ID0969,18-01-2015 09:24,Joe,Fridge,Y,Y,53,0 days 00:06:06,4
ID0970,18-01-2015 09:24,Greg,Washing Machine,Y,N,27,0 days 00:06:14,5
ID0971,18-01-2015 09:24,Joe,Fridge,Y,Y,30,0 days 00:04:03,3
ID0972,18-01-2015 09:24,Dan,Washing Machine,N,N,0,0 days 00:00:00,0
ID0973,18-01-2015 09:31,Jim,Fridge,Y,Y,113,0 days 00:03:01,5
ID0974,18-01-2015 09:31,Jim,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0975,18-01-2015 09:36,Diane,Fridge,N,N,0,0 days 00:00:00,0
ID0976,18-01-2015 09:36,Jim,Television,Y,Y,80,0 days 00:06:57,4
ID0977,18-01-2015 10:16,Stewart,Washing Machine,Y,Y,45,0 days 00:07:00,5
ID0978,18-01-2015 10:16,Joe,Fridge,Y,Y,95,0 days 00:02:16,1
ID0979,18-01-2015 11:28,Martha,Television,N,N,0,0 days 00:00:00,0
ID0980,18-01-2015 11:28,Dan,Toaster,Y,Y,33,0 days 00:01:28,3
ID0981,18-01-2015 11:47,Stewart,Toaster,N,N,0,0 days 00:00:00,0
ID0982,18-01-2015 11:47,Jim,Television,Y,Y,90,0 days 00:06:47,3
ID0983,18-01-2015 11:51,Greg,Toaster,Y,Y,90,0 days 00:02:14,3
ID0984,18-01-2015 11:51,Jim,Television,Y,N,57,0 days 00:04:10,1
ID0985,18-01-2015 11:55,Becky,Fridge,Y,Y,123,0 days 00:05:50,2
ID0986,18-01-2015 11:55,Diane,Fridge,Y,Y,39,0 days 00:06:51,4
ID0987,18-01-2015 11:57,Greg,Air Conditioner,Y,N,38,0 days 00:02:16,5
ID0988,18-01-2015 11:57,Diane,Television,Y,Y,26,0 days 00:01:35,1
ID0989,18-01-2015 11:58,Diane,Washing Machine,Y,Y,43,0 days 00:02:34,3
ID0990,18-01-2015 11:58,Jim,Television,Y,Y,89,0 days 00:05:53,3
ID0991,18-01-2015 12:00,Jim,Washing Machine,Y,Y,121,0 days 00:05:24,3
ID0992,18-01-2015 12:00,Jim,Toaster,Y,Y,114,0 days 00:03:10,4
ID0993,18-01-2015 12:34,Stewart,Washing Machine,N,N,0,0 days 00:00:00,0
ID0994,18-01-2015 12:34,Dan,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0995,18-01-2015 12:37,Becky,Television,N,N,0,0 days 00:00:00,0
ID0996,18-01-2015 12:37,Becky,Fridge,Y,N,101,0 days 00:04:36,3
ID0997,18-01-2015 12:38,Joe,Toaster,Y,Y,87,0 days 00:05:19,4
ID0998,18-01-2015 12:38,Greg,Fridge,Y,Y,22,0 days 00:06:02,5
ID0999,18-01-2015 12:41,Stewart,Television,Y,Y,19,0 days 00:03:57,2
ID1000,18-01-2015 12:41,Becky,Fridge,Y,Y,31,0 days 00:02:30,4
ID1001,18-01-2015 12:48,Martha,Toaster,Y,Y,24,0 days 00:06:03,4
ID1002,18-01-2015 12:48,Dan,Toaster,Y,N,94,0 days 00:04:42,4
ID1003,18-01-2015 13:10,Dan,Television,Y,Y,79,0 days 00:00:47,4
ID1004,18-01-2015 13:10,Jim,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1005,18-01-2015 13:10,Martha,Fridge,Y,Y,87,0 days 00:04:40,4
ID1006,18-01-2015 13:10,Dan,Washing Machine,Y,N,65,0 days 00:06:04,4
ID1007,18-01-2015 14:58,Martha,Washing Machine,Y,Y,36,0 days 00:04:23,3
ID1008,18-01-2015 14:58,Joe,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1009,18-01-2015 15:18,Stewart,Television,Y,Y,33,0 days 00:02:16,4
ID1010,18-01-2015 15:18,Becky,Washing Machine,N,N,0,0 days 00:00:00,0
ID1011,18-01-2015 15:50,Jim,Fridge,N,N,0,0 days 00:00:00,0
ID1012,18-01-2015 15:50,Greg,Television,Y,Y,24,0 days 00:03:15,5
ID1013,18-01-2015 16:12,Stewart,Fridge,Y,Y,32,0 days 00:03:40,5
ID1014,18-01-2015 16:12,Joe,Washing Machine,Y,N,24,0 days 00:03:46,4
ID1015,18-01-2015 16:49,Stewart,Air Conditioner,Y,Y,96,0 days 00:05:29,5
ID1016,18-01-2015 16:49,Joe,Air Conditioner,Y,Y,45,0 days 00:02:05,5
ID1017,18-01-2015 17:13,Jim,Fridge,Y,Y,16,0 days 00:05:09,1
ID1018,18-01-2015 17:13,Greg,Air Conditioner,Y,Y,75,0 days 00:06:56,5
ID1019,18-01-2015 17:18,Joe,Washing Machine,Y,Y,71,0 days 00:00:37,3
ID1020,18-01-2015 17:18,Stewart,Air Conditioner,Y,Y,47,0 days 00:02:17,3
ID1021,18-01-2015 17:18,Stewart,Fridge,Y,Y,54,0 days 00:04:48,3
ID1022,18-01-2015 17:18,Becky,Toaster,Y,Y,101,0 days 00:04:29,4
ID1023,18-01-2015 17:25,Martha,Television,Y,Y,46,0 days 00:02:07,3
ID1024,18-01-2015 17:25,Becky,Air Conditioner,Y,Y,45,0 days 00:06:55,3
ID1025,18-01-2015 17:26,Martha,Air Conditioner,Y,Y,45,0 days 00:05:25,4
ID1026,18-01-2015 17:26,Jim,Fridge,Y,Y,30,0 days 00:04:58,5
ID1027,18-01-2015 17:42,Greg,Air Conditioner,Y,Y,105,0 days 00:04:54,4
ID1028,18-01-2015 17:42,Jim,Toaster,Y,Y,102,0 days 00:04:54,4
ID1029,18-01-2015 17:55,Greg,Toaster,Y,Y,46,0 days 00:05:01,3
ID1030,18-01-2015 17:55,Stewart,Fridge,Y,Y,11,0 days 00:00:52,1
ID1031,19-01-2015 09:02,Dan,Toaster,Y,Y,125,0 days 00:06:03,3
ID1032,19-01-2015 09:02,Stewart,Fridge,Y,Y,112,0 days 00:01:53,3
ID1033,19-01-2015 09:15,Becky,Air Conditioner,Y,Y,14,0 days 00:01:56,3
ID1034,19-01-2015 09:15,Joe,Washing Machine,Y,N,10,0 days 00:04:43,4
ID1035,19-01-2015 09:18,Martha,Washing Machine,Y,Y,60,0 days 00:00:32,3
ID1036,19-01-2015 09:18,Diane,Television,Y,Y,59,0 days 00:05:02,5
ID1037,19-01-2015 09:36,Stewart,Air Conditioner,Y,Y,87,0 days 00:03:43,5
ID1038,19-01-2015 09:36,Martha,Washing Machine,Y,Y,111,0 days 00:03:06,5
ID1039,19-01-2015 09:44,Joe,Washing Machine,N,N,0,0 days 00:00:00,0
ID1040,19-01-2015 09:44,Becky,Toaster,Y,Y,10,0 days 00:03:11,2
ID1041,19-01-2015 10:13,Joe,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1042,19-01-2015 10:13,Joe,Television,N,N,0,0 days 00:00:00,0
ID1043,19-01-2015 10:19,Greg,Toaster,Y,Y,116,0 days 00:05:48,5
ID1044,19-01-2015 10:19,Diane,Fridge,Y,N,89,0 days 00:03:20,3
ID1045,19-01-2015 10:33,Becky,Washing Machine,N,N,0,0 days 00:00:00,0
ID1046,19-01-2015 10:33,Joe,Washing Machine,Y,N,106,0 days 00:03:52,4
ID1047,19-01-2015 10:52,Stewart,Television,N,N,0,0 days 00:00:00,0
ID1048,19-01-2015 10:52,Martha,Television,Y,Y,81,0 days 00:01:27,4
ID1049,19-01-2015 11:25,Dan,Washing Machine,N,N,0,0 days 00:00:00,0
ID1050,19-01-2015 11:25,Jim,Fridge,Y,Y,96,0 days 00:05:39,5
ID1051,19-01-2015 11:44,Jim,Toaster,Y,Y,64,0 days 00:06:06,5
ID1052,19-01-2015 11:44,Jim,Washing Machine,Y,N,79,0 days 00:06:49,1
ID1053,19-01-2015 11:55,Jim,Toaster,Y,Y,98,0 days 00:02:23,1
ID1054,19-01-2015 11:55,Joe,Fridge,Y,Y,91,0 days 00:04:00,5
ID1055,19-01-2015 12:28,Martha,Television,N,N,0,0 days 00:00:00,0
ID1056,19-01-2015 12:28,Stewart,Washing Machine,Y,Y,84,0 days 00:06:44,2
ID1057,19-01-2015 12:40,Joe,Air Conditioner,Y,Y,47,0 days 00:05:58,5
ID1058,19-01-2015 12:40,Martha,Toaster,Y,Y,42,0 days 00:02:06,5
ID1059,19-01-2015 12:59,Dan,Television,Y,N,45,0 days 00:03:44,4
ID1060,19-01-2015 12:59,Dan,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1061,19-01-2015 13:14,Jim,Toaster,Y,Y,19,0 days 00:01:36,5
ID1062,19-01-2015 13:14,Greg,Washing Machine,Y,Y,114,0 days 00:01:25,3
ID1063,19-01-2015 13:22,Jim,Fridge,Y,Y,94,0 days 00:00:57,5
ID1064,19-01-2015 13:22,Dan,Toaster,N,N,0,0 days 00:00:00,0
ID1065,19-01-2015 13:26,Diane,Television,Y,Y,99,0 days 00:02:16,5
ID1066,19-01-2015 13:26,Diane,Television,Y,Y,23,0 days 00:04:32,4
ID1067,19-01-2015 13:36,Greg,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1068,19-01-2015 13:36,Dan,Fridge,Y,Y,80,0 days 00:04:52,5
ID1069,19-01-2015 13:37,Stewart,Toaster,Y,Y,18,0 days 00:05:19,3
ID1070,19-01-2015 13:37,Diane,Washing Machine,N,N,0,0 days 00:00:00,0
ID1071,19-01-2015 13:45,Martha,Toaster,Y,Y,104,0 days 00:03:33,4
ID1072,19-01-2015 13:45,Martha,Toaster,Y,Y,116,0 days 00:05:45,3
ID1073,19-01-2015 14:22,Stewart,Television,Y,Y,44,0 days 00:06:09,5
ID1074,19-01-2015 14:22,Joe,Toaster,Y,Y,91,0 days 00:06:43,4
ID1075,19-01-2015 15:00,Greg,Washing Machine,N,N,0,0 days 00:00:00,0
ID1076,19-01-2015 15:00,Martha,Air Conditioner,Y,Y,122,0 days 00:04:15,3
ID1077,19-01-2015 15:30,Becky,Television,Y,Y,103,0 days 00:02:49,3
ID1078,19-01-2015 15:30,Becky,Air Conditioner,Y,Y,18,0 days 00:02:01,5
ID1079,19-01-2015 15:34,Jim,Washing Machine,Y,Y,20,0 days 00:02:27,4
ID1080,19-01-2015 15:34,Greg,Toaster,Y,Y,93,0 days 00:01:41,2
ID1081,19-01-2015 15:54,Becky,Fridge,N,N,0,0 days 00:00:00,0
ID1082,19-01-2015 15:54,Joe,Air Conditioner,Y,Y,63,0 days 00:04:20,4
ID1083,19-01-2015 16:09,Greg,Washing Machine,Y,Y,90,0 days 00:06:32,4
ID1084,19-01-2015 16:09,Dan,Washing Machine,Y,Y,43,0 days 00:04:00,4
ID1085,19-01-2015 16:40,Jim,Washing Machine,Y,N,105,0 days 00:01:50,4
ID1086,19-01-2015 16:40,Joe,Washing Machine,Y,Y,59,0 days 00:05:10,5
ID1087,19-01-2015 16:56,Joe,Fridge,Y,Y,115,0 days 00:06:47,4
ID1088,19-01-2015 16:56,Dan,Toaster,Y,Y,106,0 days 00:01:51,4
ID1089,19-01-2015 17:15,Becky,Television,Y,Y,35,0 days 00:00:59,3
ID1090,19-01-2015 17:15,Diane,Washing Machine,Y,Y,48,0 days 00:06:35,4
ID1091,19-01-2015 17:24,Jim,Washing Machine,N,N,0,0 days 00:00:00,0
ID1092,19-01-2015 17:24,Jim,Air Conditioner,Y,Y,56,0 days 00:06:38,4
ID1093,20-01-2015 09:05,Stewart,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1094,20-01-2015 09:05,Stewart,Fridge,Y,Y,99,0 days 00:04:39,4
ID1095,20-01-2015 09:46,Joe,Fridge,Y,Y,71,0 days 00:02:41,3
ID1096,20-01-2015 09:46,Stewart,Toaster,Y,Y,54,0 days 00:04:24,4
ID1097,20-01-2015 09:46,Greg,Fridge,N,N,0,0 days 00:00:00,0
ID1098,20-01-2015 09:46,Dan,Toaster,N,N,0,0 days 00:00:00,0
ID1099,20-01-2015 09:46,Jim,Television,Y,Y,54,0 days 00:01:26,4
ID1100,20-01-2015 09:46,Joe,Air Conditioner,Y,Y,62,0 days 00:01:49,2
ID1101,20-01-2015 10:22,Stewart,Toaster,Y,Y,24,0 days 00:04:08,4
ID1102,20-01-2015 10:22,Jim,Fridge,Y,Y,94,0 days 00:04:10,5
ID1103,20-01-2015 11:24,Becky,Toaster,Y,Y,43,0 days 00:00:56,3
ID1104,20-01-2015 11:24,Martha,Television,N,N,0,0 days 00:00:00,0
ID1105,20-01-2015 12:00,Joe,Television,Y,Y,58,0 days 00:04:14,5
ID1106,20-01-2015 12:00,Greg,Toaster,Y,Y,15,0 days 00:06:35,1
ID1107,20-01-2015 12:07,Becky,Washing Machine,Y,Y,102,0 days 00:01:16,1
ID1108,20-01-2015 12:07,Greg,Washing Machine,Y,Y,40,0 days 00:05:22,2
ID1109,20-01-2015 12:27,Diane,Air Conditioner,Y,Y,63,0 days 00:04:50,2
ID1110,20-01-2015 12:27,Martha,Television,Y,Y,77,0 days 00:06:22,4
ID1111,20-01-2015 12:59,Martha,Air Conditioner,Y,Y,93,0 days 00:05:30,4
ID1112,20-01-2015 12:59,Becky,Television,Y,Y,101,0 days 00:03:22,5
ID1113,20-01-2015 13:00,Stewart,Toaster,Y,Y,34,0 days 00:00:34,5
ID1114,20-01-2015 13:00,Stewart,Toaster,Y,Y,64,0 days 00:01:34,5
ID1115,20-01-2015 13:26,Greg,Air Conditioner,Y,N,25,0 days 00:06:32,3
ID1116,20-01-2015 13:26,Jim,Fridge,Y,Y,122,0 days 00:02:13,4
ID1117,20-01-2015 13:26,Stewart,Television,Y,Y,36,0 days 00:01:01,4
ID1118,20-01-2015 13:26,Stewart,Washing Machine,Y,Y,37,0 days 00:01:34,3
ID1119,20-01-2015 13:59,Joe,Television,Y,Y,112,0 days 00:06:46,3
ID1120,20-01-2015 13:59,Diane,Toaster,N,N,0,0 days 00:00:00,0
ID1121,20-01-2015 14:03,Jim,Fridge,Y,Y,57,0 days 00:04:53,3
ID1122,20-01-2015 14:03,Jim,Fridge,Y,Y,14,0 days 00:02:28,3
ID1123,20-01-2015 16:00,Becky,Fridge,Y,Y,72,0 days 00:04:11,2
ID1124,20-01-2015 16:00,Becky,Fridge,Y,Y,60,0 days 00:06:32,3
ID1125,20-01-2015 16:20,Becky,Toaster,Y,Y,52,0 days 00:02:57,5
ID1126,20-01-2015 16:20,Stewart,Washing Machine,N,N,0,0 days 00:00:00,0
ID1127,20-01-2015 17:42,Joe,Television,Y,Y,73,0 days 00:00:45,3
ID1128,20-01-2015 17:42,Becky,Washing Machine,Y,Y,108,0 days 00:02:20,4
ID1129,20-01-2015 17:55,Joe,Television,Y,Y,50,0 days 00:01:48,4
ID1130,20-01-2015 17:55,Stewart,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1131,20-01-2015 17:57,Joe,Fridge,Y,N,100,0 days 00:04:04,2
ID1132,20-01-2015 17:57,Joe,Air Conditioner,Y,Y,69,0 days 00:01:22,3
ID1133,21-01-2015 09:20,Becky,Television,Y,Y,39,0 days 00:02:11,1
ID1134,21-01-2015 09:20,Jim,Air Conditioner,Y,Y,71,0 days 00:02:54,5
ID1135,21-01-2015 09:37,Dan,Television,N,N,0,0 days 00:00:00,0
ID1136,21-01-2015 09:37,Greg,Air Conditioner,Y,Y,79,0 days 00:01:19,5
ID1137,21-01-2015 09:56,Martha,Washing Machine,Y,Y,57,0 days 00:05:24,3
ID1138,21-01-2015 09:56,Diane,Fridge,Y,Y,82,0 days 00:04:53,4
ID1139,21-01-2015 10:14,Jim,Washing Machine,Y,Y,73,0 days 00:03:13,1
ID1140,21-01-2015 10:14,Jim,Air Conditioner,Y,Y,110,0 days 00:02:11,5
ID1141,21-01-2015 10:19,Martha,Fridge,Y,Y,106,0 days 00:01:49,5
ID1142,21-01-2015 10:19,Jim,Television,Y,Y,92,0 days 00:02:13,4
ID1143,21-01-2015 10:24,Greg,Television,Y,Y,28,0 days 00:06:00,4
ID1144,21-01-2015 10:24,Martha,Washing Machine,Y,Y,108,0 days 00:06:02,1
ID1145,21-01-2015 10:53,Becky,Television,Y,Y,57,0 days 00:01:47,4
ID1146,21-01-2015 10:53,Martha,Washing Machine,Y,Y,109,0 days 00:05:56,3
ID1147,21-01-2015 10:59,Greg,Washing Machine,Y,Y,55,0 days 00:01:37,2
ID1148,21-01-2015 10:59,Martha,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1149,21-01-2015 11:15,Dan,Toaster,Y,Y,68,0 days 00:06:53,1
ID1150,21-01-2015 11:15,Jim,Fridge,Y,N,46,0 days 00:00:34,3
ID1151,21-01-2015 12:02,Jim,Air Conditioner,Y,Y,30,0 days 00:04:59,3
ID1152,21-01-2015 12:02,Martha,Fridge,Y,Y,107,0 days 00:00:50,4
ID1153,21-01-2015 12:02,Greg,Air Conditioner,Y,Y,122,0 days 00:06:25,5
ID1154,21-01-2015 12:02,Martha,Fridge,N,N,0,0 days 00:00:00,0
ID1155,21-01-2015 12:07,Stewart,Air Conditioner,Y,Y,18,0 days 00:00:37,5
ID1156,21-01-2015 12:07,Joe,Television,N,N,0,0 days 00:00:00,0
ID1157,21-01-2015 15:47,Joe,Toaster,N,N,0,0 days 00:00:00,0
ID1158,21-01-2015 15:47,Joe,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1159,21-01-2015 15:48,Martha,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1160,21-01-2015 15:48,Stewart,Television,Y,Y,99,0 days 00:02:14,4
ID1161,21-01-2015 16:03,Dan,Washing Machine,Y,Y,52,0 days 00:01:47,2
ID1162,21-01-2015 16:03,Martha,Fridge,N,N,0,0 days 00:00:00,0
ID1163,21-01-2015 16:20,Becky,Toaster,N,N,0,0 days 00:00:00,0
ID1164,21-01-2015 16:20,Jim,Washing Machine,Y,Y,79,0 days 00:00:47,3
ID1165,21-01-2015 16:29,Martha,Television,Y,Y,112,0 days 00:02:51,5
ID1166,21-01-2015 16:29,Diane,Toaster,Y,Y,16,0 days 00:04:23,3
ID1167,21-01-2015 16:46,Joe,Washing Machine,Y,Y,22,0 days 00:06:58,3
ID1168,21-01-2015 16:46,Dan,Washing Machine,Y,Y,115,0 days 00:01:25,1
ID1169,21-01-2015 17:11,Dan,Air Conditioner,Y,Y,125,0 days 00:04:37,4
ID1170,21-01-2015 17:11,Martha,Toaster,Y,Y,68,0 days 00:05:06,3
ID1171,21-01-2015 17:26,Jim,Air Conditioner,Y,Y,44,0 days 00:01:16,4
ID1172,21-01-2015 17:26,Becky,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1173,21-01-2015 17:26,Stewart,Television,Y,Y,119,0 days 00:00:42,4
ID1174,21-01-2015 17:26,Martha,Television,Y,Y,62,0 days 00:00:54,5
ID1175,21-01-2015 17:26,Greg,Television,Y,Y,84,0 days 00:06:04,5
ID1176,21-01-2015 17:26,Martha,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1177,21-01-2015 17:36,Greg,Television,Y,Y,75,0 days 00:06:28,4
ID1178,21-01-2015 17:36,Martha,Toaster,Y,Y,114,0 days 00:02:54,4
ID1179,21-01-2015 17:38,Dan,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1180,21-01-2015 17:38,Stewart,Fridge,Y,Y,21,0 days 00:02:10,4
ID1181,22-01-2015 09:11,Stewart,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1182,22-01-2015 09:11,Diane,Fridge,Y,Y,20,0 days 00:01:08,3
ID1183,22-01-2015 09:11,Diane,Air Conditioner,Y,Y,112,0 days 00:03:37,1
ID1184,22-01-2015 09:11,Becky,Television,Y,Y,85,0 days 00:05:24,4
ID1185,22-01-2015 09:24,Martha,Fridge,Y,Y,34,0 days 00:06:07,3
ID1186,22-01-2015 09:24,Diane,Television,Y,Y,53,0 days 00:05:02,4
ID1187,22-01-2015 09:48,Martha,Television,Y,Y,103,0 days 00:02:14,5
ID1188,22-01-2015 09:48,Becky,Washing Machine,Y,Y,98,0 days 00:06:53,4
ID1189,22-01-2015 09:59,Becky,Air Conditioner,Y,Y,23,0 days 00:04:44,1
ID1190,22-01-2015 09:59,Martha,Fridge,Y,Y,53,0 days 00:01:17,2
ID1191,22-01-2015 10:37,Becky,Air Conditioner,N,N,0,0 days 00:00:00,0
ID1192,22-01-2015 10:37,Diane,Washing Machine,Y,N,55,0 days 00:04:40,4
